hour,start_station_id,ride_count
22,6358.05,1
0,7816.14,1
9,8416.10,1
4,8281.06,1
21,7983.04,1
14,7888.10,1
2,5575.08,1
7,7888.10,1
3,8118.02,1
17,8550.04,1
1,6267.08,1
1,7669.10,1
21,6927.03,2
1,7835.10,1
6,5369.01,1
10,8897.05,1
4,5368.03,1
4,7685.14,2
22,6893.10,1
14,7613.04,1
23,3972.08,1
0,7388.10,1
15,6070.05,2
20,6005.04,1
5,4832.07,1
23,8104.10,1
10,7781.10,1
21,8182.02,1
0,4301.07,1
11,6724.01,1
13,6380.10,1
18,4129.10,1
15,6380.10,1
0,4771.07,1
3,6740.10,1
12,6146.01,1
22,8257.03,1
21,3214.04,1
3,5509.02,1
18,3327.01,2
3,6028.01,1
6,4735.16,1
21,3925.03,2
0,6141.02,1
9,3845.05,3
3,4645.09,1
21,4055.04,1
4,5406.04,2
20,6603.06,2
5,4161.01,2
1,7068.07,1
9,3318.05,2
3,4246.02,1
4,5616.08,2
16,3877.04,2
1,7132.08,1
2,3885.06,1
1,6727.02,2
2,4663.02,1
5,5090.06,1
11,8284.01,2
22,8306.03,2
4,8306.03,13
3,4416.10,1
3,8531.05,1
0,8025.01,1
4,4954.07,6
11,7391.02,3
1,6901.01,2
11,6848.04,1
19,8403.02,2
5,4205.06,1
10,8485.01,2
23,6929.01,1
3,5470.10,1
11,8430.03,1
4,5623.03,2
2,5470.10,1
0,8430.03,1
6,5002.09,1
4,5002.09,1
1,8646.02,2
0,7220.01,1
11,8664.06,1
4,4846.01,7
4,5730.08,2
2,2733.03,2
3,6563.12,1
4,6067.01,1
0,8325.12,1
3,8586.09,1
5,8268.08,1
23,7642.04,1
3,6981.16,2
6,8379.06,1
2,8330.05,1
4,8005.03,1
10,6840.02,1
3,4243.01,1
14,8639.01,2
1,4862.04,1
5,8194.07,2
13,3776.10,1
2,5676.04,2
1,6627.12,1
6,6817.15,3
3,6839.10,1
8,6848.04,2
3,3492.04,1
2,5114.06,4
5,5470.10,2
17,8672.05,1
4,3874.01,2
23,3341.06,1
21,3341.06,1
23,8579.09,1
4,3272.01,1
6,3707.01,6
4,7625.18,1
4,7074.01,1
3,6612.09,8
6,3278.07,1
5,3762.08,1
15,3214.04,1
7,6941.03,1
2,4977.03,3
3,3625.04,1
19,6047.03,1
6,4179.03,16
6,3166.03,1
2,4812.04,1
7,6978.04,1
5,3084.05,1
0,7188.10,3
21,7152.10,1
20,7870.02,2
0,8115.01,6
20,4110.10,1
5,7995.04,1
23,7202.07,2
5,8306.03,5
1,8392.02,1
1,8110.04,1
10,8505.08,1
10,8306.03,3
19,8346.06,2
4,4193.14,2
22,4128.08,1
7,4137.14,2
1,4137.14,1
23,3472.03,1
23,6893.10,2
7,6438.04,1
5,6438.04,1
18,4146.02,1
